group,n_basins,seed,local_nse_mean,ft_nse_mean,delta_nse_mean,local_kge_mean,ft_kge_mean,delta_kge_mean,nse_improved_count,kge_improved_count,detail_csv
01,25,1001,0.5204824090003968,0.7692033720016479,0.2487209630012512,0.530415732840806,0.8109835226033174,0.2805677897625113,25,25,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_local_vs_finetune.csv
02,69,1001,0.549134297647338,0.6837602171345033,0.13462591948716535,0.5474014309567276,0.6832056141361101,0.1358041831793825,67,68,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_local_vs_finetune.csv
03,79,1001,0.5439543195917637,0.7054068363165553,0.16145251672479172,0.4845256476816115,0.6726013302440478,0.1880756825624361,76,77,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_local_vs_finetune.csv
04,29,1001,0.46370647487969235,0.705307374740469,0.2416008998607767,0.4522433767406177,0.7133909489846065,0.2611475722439889,27,28,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_local_vs_finetune.csv
05,35,1001,0.5266027484621321,0.7309535946164812,0.2043508461543492,0.5310027639636415,0.762787046385048,0.23178428242140642,34,35,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_local_vs_finetune.csv
06,16,1001,0.3146809749305248,0.7684422582387924,0.4537612833082676,0.2505158448338679,0.7588703397114753,0.5083544948776073,16,16,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_local_vs_finetune.csv
07,29,1001,0.3457777726239172,0.6884093243500282,0.34263155172611104,0.30067166281049384,0.6735068334600943,0.37283517064960037,29,29,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_local_vs_finetune.csv
08,7,1001,0.19255552121571132,0.6472570810999189,0.4547015598842076,0.07504891532867594,0.604266679408144,0.529217764079468,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_local_vs_finetune.csv
09,2,1001,0.0771027505397796,0.4118356704711914,0.3347329199314118,-0.1340948613371054,0.30097462930765784,0.43506949064476325,2,2,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_local_vs_finetune.csv
10,49,1001,0.30205279953625735,0.6115708862032209,0.30951808666696357,0.18500280110245718,0.5455820547717005,0.3605792536692433,48,47,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_local_vs_finetune.csv
11,22,1001,0.18914138187061652,0.614862325516614,0.4257209436459975,0.06353194831767896,0.5749613886256774,0.5114294403079984,22,22,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_11_local_vs_finetune.csv
12,32,1001,0.20091447792947292,0.5864842738956213,0.3855697959661484,-0.0043962728199225115,0.42763993741032547,0.43203621023024796,31,31,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_12_local_vs_finetune.csv
13,7,1001,0.45309709651129587,0.7241965276854379,0.271099431174142,0.372561692831111,0.7623686326303389,0.3898069397992279,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_13_local_vs_finetune.csv
14,15,1001,0.6554233352343242,0.8335200826327006,0.17809674739837644,0.5712539962489036,0.7992297604285542,0.22797576417965057,15,14,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_14_local_vs_finetune.csv
15,14,1001,0.18313037071909224,0.47574737668037415,0.29261700596128193,0.0038828197489219458,0.32138206455063273,0.31749924480171077,12,12,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_15_local_vs_finetune.csv
16,5,1001,0.3534941077232361,0.7848313212394714,0.43133721351623533,0.3270765674449189,0.7711988676257111,0.4441223001807922,5,5,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_16_local_vs_finetune.csv
17,72,1001,0.6800605050391622,0.7950874923004044,0.11502698726124232,0.6791838091793002,0.7980338308885514,0.11885002170925106,67,67,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_17_local_vs_finetune.csv
18,26,1001,0.4685143278195308,0.7662644936488225,0.2977501658292917,0.4272200759763108,0.7504247597029364,0.32320468372662564,25,26,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_18_local_vs_finetune.csv
