group,n_basins,seed,local_nse_mean,ft_nse_mean,delta_nse_mean,local_kge_mean,ft_kge_mean,delta_kge_mean,nse_improved_count,kge_improved_count,detail_csv
01,25,1001,0.37291310548782347,0.648252944946289,0.2753398394584656,0.39078703552473953,0.6638100537931464,0.2730230182684068,24,24,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_local_vs_finetune_ea.csv
02,69,1001,0.45616424515627435,0.5930270112079122,0.1368627660516379,0.4273557293851014,0.5734200782458183,0.14606434886071695,69,67,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_local_vs_finetune_ea.csv
03,79,1001,0.4474343883840344,0.5865513893622386,0.13911700097820426,0.39269406659746303,0.5477859071202793,0.15509184052281624,75,76,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_local_vs_finetune_ea.csv
04,29,1001,0.24263671759901373,0.5284096146452015,0.2857728970461878,0.24404841436195082,0.5350245129450922,0.2909760985831413,28,24,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_local_vs_finetune_ea.csv
05,35,1001,0.436841550895146,0.6377705999783108,0.20092904908316475,0.42219764843149055,0.6214266141967182,0.19922896576522753,34,35,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_local_vs_finetune_ea.csv
06,16,1001,0.12082045152783391,0.654626052826643,0.533805601298809,0.048906519121821104,0.6240929376957349,0.5751864185739137,16,16,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_local_vs_finetune_ea.csv
07,29,1001,0.21304167755718886,0.5456774604731592,0.3326357829159704,0.14395369398597382,0.5268557431288636,0.3829020491428898,28,28,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_local_vs_finetune_ea.csv
08,7,1001,0.04508858067648747,0.503240168094635,0.4581515874181475,-0.15273507078997003,0.4996183946705047,0.6523534654604749,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_local_vs_finetune_ea.csv
09,2,1001,0.044864147901535006,0.1288473308086395,0.08398318290710444,-0.20077631545496694,-0.064389541189098,0.13638677426586895,2,2,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_local_vs_finetune_ea.csv
10,49,1001,0.011462479221577525,0.48811707569628343,0.4766545964747059,-0.2104853267334651,0.3643686365873858,0.5748539633208509,48,47,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_local_vs_finetune_ea.csv
11,22,1001,-0.0712178214029832,0.5249644138596274,0.5961822352626107,-0.30866626818890375,0.4496963761983803,0.7583626443872841,22,22,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_11_local_vs_finetune_ea.csv
12,32,1001,0.09664536267518994,0.5032493937760592,0.4066040311008692,-0.19364209882546857,0.30425159476819286,0.4978936935936614,32,32,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_12_local_vs_finetune_ea.csv
13,7,1001,0.03559811626161844,0.6190737741334098,0.5834756578717913,-0.019396253440976122,0.5935424141253612,0.6129386675663373,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_13_local_vs_finetune_ea.csv
14,15,1001,0.06923231681187945,0.7346408406893412,0.6654085238774617,0.004368936980348256,0.676566244879211,0.6721973078988628,15,15,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_14_local_vs_finetune_ea.csv
15,14,1001,-0.008636602333613847,0.2426817672593253,0.25131836959293913,-0.29808657543102546,0.03652022273951794,0.33460679817054334,14,14,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_15_local_vs_finetune_ea.csv
16,5,1001,0.04568986892700194,0.6988183498382569,0.6531284809112549,-0.08162860406867957,0.6842760797740135,0.7659046838426931,5,5,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_16_local_vs_finetune_ea.csv
17,72,1001,0.49300488664044273,0.7021929927998118,0.20918810615936914,0.4738993814718101,0.6673138075662194,0.19341442609440918,72,67,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_17_local_vs_finetune_ea.csv
18,26,1001,0.14409967798453108,0.6971261615936573,0.5530264836091262,0.0035276268704574855,0.6265538390442902,0.6230262121738327,26,26,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_18_local_vs_finetune_ea.csv
