group,n_basins,seed,local_nse_mean,ft_nse_mean,delta_nse_mean,local_kge_mean,ft_kge_mean,delta_kge_mean,nse_improved_count,kge_improved_count,detail_csv,global_nse_mean,global_kge_mean,delta_global_vs_local_nse,delta_ft_vs_global_nse,delta_ft_vs_local_nse
1,25,1001,0.5204824090003968,0.7692033720016479,0.2487209630012512,0.530415732840806,0.8109835226033174,0.2805677897625113,25,25,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.2193264002983386,0.02939456270291252,0.24872096300125113
2,69,1001,0.549134297647338,0.6837602171345033,0.1346259194871653,0.5474014309567276,0.6832056141361101,0.1358041831793825,67,68,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.19067451165139737,-0.05604859216423208,0.1346259194871653
3,79,1001,0.5439543195917637,0.7054068363165553,0.1614525167247917,0.4845256476816115,0.6726013302440478,0.1880756825624361,76,77,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.19585448970697172,-0.03440197298218006,0.16145251672479166
4,29,1001,0.4637064748796923,0.705307374740469,0.2416008998607767,0.4522433767406177,0.7133909489846065,0.2611475722439889,27,28,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.2761023344190431,-0.034501434558266375,0.2416008998607767
5,35,1001,0.5266027484621321,0.7309535946164812,0.2043508461543492,0.5310027639636415,0.762787046385048,0.2317842824214064,34,35,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.21320606083660332,-0.008855214682254142,0.20435084615434917
6,16,1001,0.3146809749305248,0.7684422582387924,0.4537612833082676,0.2505158448338679,0.7588703397114753,0.5083544948776073,16,16,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.42512783436821056,0.028633448940057038,0.4537612833082676
7,29,1001,0.3457777726239172,0.6884093243500282,0.342631551726111,0.3006716628104938,0.6735068334600943,0.3728351706496003,29,29,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.3940310366748182,-0.051399484948707164,0.34263155172611104
8,7,1001,0.1925555212157113,0.6472570810999189,0.4547015598842076,0.0750489153286759,0.604266679408144,0.529217764079468,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.5472532880830241,-0.09255172819881652,0.4547015598842076
9,2,1001,0.0771027505397796,0.4118356704711914,0.3347329199314118,-0.1340948613371054,0.3009746293076578,0.4350694906447632,2,2,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.6627060587589558,-0.327973138827544,0.3347329199314118
10,49,1001,0.3020527995362573,0.6115708862032209,0.3095180866669635,0.1850028011024571,0.5455820547717005,0.3605792536692433,48,47,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.4377560097624781,-0.12823792309551452,0.30951808666696357
11,22,1001,0.1891413818706165,0.614862325516614,0.4257209436459975,0.0635319483176789,0.5749613886256774,0.5114294403079984,22,22,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_11_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.5506674274281189,-0.12494648378212136,0.42572094364599755
12,32,1001,0.2009144779294729,0.5864842738956213,0.3855697959661484,-0.0043962728199225,0.4276399374103254,0.4320362102302479,31,31,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_12_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.5388943313692625,-0.15332453540311408,0.3855697959661484
13,7,1001,0.4530970965112958,0.7241965276854379,0.271099431174142,0.372561692831111,0.7623686326303389,0.3898069397992279,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_13_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.28671171278743957,-0.01561228161329753,0.27109943117414204
14,15,1001,0.6554233352343242,0.8335200826327006,0.1780967473983764,0.5712539962489036,0.7992297604285542,0.2279757641796505,15,14,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_14_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.08438547406441121,0.09371127333396523,0.17809674739837644
15,14,1001,0.1831303707190922,0.4757473766803741,0.2926170059612819,0.0038828197489219,0.3213820645506327,0.3174992448017107,12,12,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_15_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.5566784385796432,-0.2640614326183613,0.29261700596128193
16,5,1001,0.3534941077232361,0.7848313212394714,0.4313372135162353,0.3270765674449189,0.7711988676257111,0.4441223001807922,5,5,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_16_local_vs_finetune.csv,0.7398088092987354,0.6813322043233322,0.3863147015754993,0.04502251194073603,0.43133721351623533
