group,n_basins,seed,local_nse_mean,ft_nse_mean,delta_nse_mean,local_kge_mean,ft_kge_mean,delta_kge_mean,nse_improved_count,kge_improved_count,detail_csv,n_basins_global_eval,global_nse_mean,global_kge_mean,global_detail_csv,delta_global_vs_local_nse,delta_ft_vs_global_nse,delta_ft_vs_local_nse
01,25,1001,0.5204824090003968,0.7692033720016479,0.2487209630012512,0.530415732840806,0.8109835226033174,0.2805677897625113,25,25,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_local_vs_finetune.csv,25,0.7254631066322327,0.7363385358919321,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_global_eval_true.csv,0.2049806976318359,0.04374026536941522,0.24872096300125113
02,69,1001,0.549134297647338,0.6837602171345033,0.1346259194871653,0.5474014309567276,0.6832056141361101,0.1358041831793825,67,68,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_local_vs_finetune.csv,69,0.6727483255275781,0.6819530174247022,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_global_eval_true.csv,0.12361402788024012,0.011011891606925173,0.1346259194871653
03,79,1001,0.5439543195917637,0.7054068363165553,0.1614525167247917,0.4845256476816115,0.6726013302440478,0.1880756825624361,76,77,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_local_vs_finetune.csv,79,0.67164912706689,0.6150720323767181,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_global_eval_true.csv,0.1276948074751263,0.03375770924966537,0.16145251672479166
04,29,1001,0.4637064748796923,0.705307374740469,0.2416008998607767,0.4522433767406177,0.7133909489846065,0.2611475722439889,27,28,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_local_vs_finetune.csv,29,0.6629882927598625,0.7042239448086295,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_global_eval_true.csv,0.1992818178801702,0.04231908198060652,0.2416008998607767
05,35,1001,0.5266027484621321,0.7309535946164812,0.2043508461543492,0.5310027639636415,0.762787046385048,0.2317842824214064,34,35,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_local_vs_finetune.csv,35,0.703944092137473,0.6910372170060048,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_global_eval_true.csv,0.17734134367534093,0.02700950247900824,0.20435084615434917
06,16,1001,0.3146809749305248,0.7684422582387924,0.4537612833082676,0.2505158448338679,0.7588703397114753,0.5083544948776073,16,16,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_local_vs_finetune.csv,16,0.7315728552639484,0.7075720131011504,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_global_eval_true.csv,0.4168918803334236,0.03686940297484398,0.4537612833082676
07,29,1001,0.3457777726239172,0.6884093243500282,0.342631551726111,0.3006716628104938,0.6735068334600943,0.3728351706496003,29,29,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_local_vs_finetune.csv,29,0.6398045174006758,0.6323276954361369,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_global_eval_true.csv,0.2940267447767586,0.04860480694935243,0.34263155172611104
08,7,1001,0.1925555212157113,0.6472570810999189,0.4547015598842076,0.0750489153286759,0.604266679408144,0.529217764079468,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_local_vs_finetune.csv,7,0.617221440587725,0.5589978218337641,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_global_eval_true.csv,0.4246659193720137,0.030035640512193873,0.4547015598842076
09,2,1001,0.0771027505397796,0.4118356704711914,0.3347329199314118,-0.1340948613371054,0.3009746293076578,0.4350694906447632,2,2,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_local_vs_finetune.csv,2,0.3118650019168854,0.0820679308572189,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_global_eval_true.csv,0.23476225137710577,0.09997066855430603,0.3347329199314118
10,49,1001,0.3020527995362573,0.6115708862032209,0.3095180866669635,0.1850028011024571,0.5455820547717005,0.3605792536692433,48,47,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_local_vs_finetune.csv,49,0.5591245707200498,0.43178861825470616,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_global_eval_true.csv,0.25707177118379254,0.052446315483171024,0.30951808666696357
