group,n_basins,seed,local_nse_mean,ft_nse_mean,delta_nse_mean,local_kge_mean,ft_kge_mean,delta_kge_mean,nse_improved_count,kge_improved_count,detail_csv,n_basins_global_eval,global_nse_mean,global_kge_mean,global_detail_csv,delta_global_vs_local_nse,delta_ft_vs_global_nse,delta_ft_vs_local_nse
01,25,1001,0.3729131054878234,0.648252944946289,0.2753398394584656,0.3907870355247395,0.6638100537931464,0.2730230182684068,24,24,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_local_vs_finetune_ea.csv,25,0.6400917100906373,0.6856515331247393,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_01_global_eval_true_ea.csv,0.26717860460281384,0.008161234855651789,0.27533983945846563
02,69,1001,0.4561642451562743,0.5930270112079122,0.1368627660516379,0.4273557293851014,0.5734200782458183,0.1460643488607169,69,67,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_local_vs_finetune_ea.csv,69,0.5776915282442949,0.5499816855127323,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_02_global_eval_true_ea.csv,0.12152728308802063,0.015335482963617308,0.13686276605163794
03,79,1001,0.4474343883840344,0.5865513893622386,0.1391170009782042,0.392694066597463,0.5477859071202793,0.1550918405228162,75,76,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_local_vs_finetune_ea.csv,79,0.5659653461432155,0.4987504721802834,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_03_global_eval_true_ea.csv,0.1185309577591811,0.02058604321902313,0.13911700097820423
04,29,1001,0.2426367175990137,0.5284096146452015,0.2857728970461878,0.2440484143619508,0.5350245129450922,0.2909760985831413,28,24,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_local_vs_finetune_ea.csv,29,0.4616578036341174,0.5488603716549041,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_04_global_eval_true_ea.csv,0.2190210860351037,0.06675181101108413,0.2857728970461878
05,35,1001,0.436841550895146,0.6377705999783108,0.2009290490831647,0.4221976484314905,0.6214266141967182,0.1992289657652275,34,35,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_local_vs_finetune_ea.csv,35,0.6079253690583365,0.5629962645873805,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_05_global_eval_true_ea.csv,0.17108381816319052,0.029845230919974264,0.20092904908316478
06,16,1001,0.1208204515278339,0.654626052826643,0.533805601298809,0.0489065191218211,0.6240929376957349,0.5751864185739137,16,16,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_local_vs_finetune_ea.csv,16,0.6329023577272892,0.5971127808050322,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_06_global_eval_true_ea.csv,0.5120819061994553,0.02172369509935379,0.533805601298809
07,29,1001,0.2130416775571888,0.5456774604731592,0.3326357829159704,0.1439536939859738,0.5268557431288636,0.3829020491428898,28,28,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_local_vs_finetune_ea.csv,29,0.5368619170682184,0.5055518715088639,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_07_global_eval_true_ea.csv,0.32382023951102956,0.00881554340494084,0.3326357829159704
08,7,1001,0.0450885806764874,0.503240168094635,0.4581515874181475,-0.15273507078997,0.4996183946705047,0.6523534654604749,7,7,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_local_vs_finetune_ea.csv,7,0.4967634677886963,0.4817059878068341,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_08_global_eval_true_ea.csv,0.4516748871122089,0.006476700305938721,0.4581515874181476
09,2,1001,0.044864147901535,0.1288473308086395,0.0839831829071044,-0.2007763154549669,-0.064389541189098,0.1363867742658689,2,2,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_local_vs_finetune_ea.csv,2,0.1283574104309081,-0.0017159435433516,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_09_global_eval_true_ea.csv,0.08349326252937309,0.0004899203777314065,0.08398318290710449
10,49,1001,0.0114624792215775,0.4881170756962834,0.4766545964747059,-0.2104853267334651,0.3643686365873858,0.5748539633208509,48,47,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_local_vs_finetune_ea.csv,49,0.4714916895846931,0.2742068060876221,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\results_folder_10_global_eval_true_ea.csv,0.4600292103631156,0.016625386111590257,0.47665459647470587
