group,seed,local_run_dir,local_NSE,local_KGE,local_metrics_csv,finetune_run_dir,finetune_NSE,finetune_KGE,finetune_metrics_csv,delta_NSE_ft_minus_local,delta_KGE_ft_minus_local
1,1001,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g01_0107_095209,0.2420658469200134,0.2207033162129189,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g01_0107_095209\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g01_0107_095234,0.8555806875228882,0.8767405673151234,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g01_0107_095234\test\model_epoch010\test_metrics.csv,0.6135148406028748,0.6560372511022046
2,1002,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g02_0107_095258,0.2546737790107727,0.2331360312387078,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g02_0107_095258\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g02_0107_095320,0.8507236838340759,0.8624410357433555,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g02_0107_095320\test\model_epoch010\test_metrics.csv,0.5960499048233032,0.6293050045046478
3,1003,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g03_0107_095345,0.1900097131729126,0.1351569998450631,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g03_0107_095345\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g03_0107_095407,0.8542141914367676,0.8677591678086894,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g03_0107_095407\test\model_epoch010\test_metrics.csv,0.664204478263855,0.7326021679636263
4,1004,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g04_0107_095433,0.2665907144546509,0.2462554472555499,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g04_0107_095433\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g04_0107_095458,0.8534982800483704,0.8732715246825729,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g04_0107_095458\test\model_epoch010\test_metrics.csv,0.5869075655937195,0.6270160774270229
5,1005,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g05_0107_095526,0.3299906849861145,0.3460830652888826,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g05_0107_095526\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g05_0107_095550,0.8546335697174072,0.8737438775475389,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g05_0107_095550\test\model_epoch010\test_metrics.csv,0.5246428847312927,0.5276608122586564
6,1006,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g06_0107_095615,0.3395256400108337,0.3344101462889949,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g06_0107_095615\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g06_0107_095639,0.8530019521713257,0.8800281496766552,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g06_0107_095639\test\model_epoch010\test_metrics.csv,0.5134763121604919,0.5456180033876603
7,1007,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g07_0107_095705,0.2731282711029053,0.2821679794448115,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g07_0107_095705\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g07_0107_095728,0.8532322645187378,0.8785055851561905,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g07_0107_095728\test\model_epoch010\test_metrics.csv,0.5801039934158325,0.596337605711379
8,1008,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g08_0107_095754,0.2906867265701294,0.2971914579673393,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g08_0107_095754\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g08_0107_095817,0.8539422750473022,0.8635085906131224,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g08_0107_095817\test\model_epoch010\test_metrics.csv,0.5632555484771729,0.566317132645783
9,1009,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g09_0107_095843,0.2761494517326355,0.2623411107287264,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g09_0107_095843\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g09_0107_095906,0.8552514910697937,0.8836663397279926,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g09_0107_095906\test\model_epoch010\test_metrics.csv,0.5791020393371582,0.6213252289992661
10,1010,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g10_0107_095932,0.3019430637359619,0.3387994617796086,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_scratch_local_same_g10_0107_095932\test\model_epoch010\test_metrics.csv,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g10_0107_095955,0.8558139801025391,0.8818024729990931,C:\GitHub\climate-change\NeuralHydrology\rq3_finetune\runs\rq3_finetuned_same_g10_0107_095955\test\model_epoch010\test_metrics.csv,0.5538709163665771,0.5430030112194845
